customer_id,age,annual_income,spending_score,purchase_frequency,avg_order_value,last_purchase_days
CUST_001,25,35000,45,8,85,45
CUST_002,34,52000,72,15,120,20
CUST_003,42,85000,88,22,180,10
CUST_004,28,28000,35,5,55,90
CUST_005,51,120000,65,18,200,35
CUST_006,33,48000,58,12,95,28
CUST_007,45,75000,82,25,150,8
CUST_008,29,32000,42,7,70,60
CUST_009,38,68000,75,16,135,22
CUST_010,52,95000,92,30,220,5
CUST_011,31,41000,55,10,80,40
CUST_012,44,88000,78,20,165,15
CUST_013,27,26000,38,4,50,100
CUST_014,36,55000,68,14,110,25
CUST_015,49,105000,85,28,195,12
CUST_016,30,38000,48,9,75,50
CUST_017,41,72000,80,19,145,18
CUST_018,35,49000,62,13,100,30
CUST_019,53,110000,90,32,230,7
CUST_020,32,44000,52,11,85,38
