customer_id,age,annual_income,spending_score,purchase_frequency,avg_order_value,last_purchase_days,preferred_category,engagement_level
CUST_00001,40,17895,57,1,416,21,Toys,Medium
CUST_00002,33,29427,61,1,51,22,Electronics,Medium
CUST_00003,42,30596,71,6,50,3,Electronics,Medium
CUST_00004,53,24315,71,8,59,17,Toys,High
CUST_00005,32,33501,22,23,20,22,Home & Garden,Medium
CUST_00006,32,44445,31,2,62,8,Clothing,High
CUST_00007,53,93254,60,2,52,9,Clothing,Medium
CUST_00008,44,39627,60,7,100,14,Clothing,Medium
CUST_00009,29,41306,60,2,114,1,Toys,Medium
CUST_00010,41,34988,100,13,334,11,Electronics,Medium
CUST_00011,29,15000,61,9,175,7,Toys,High
CUST_00012,29,35837,72,2,60,11,Toys,Medium
CUST_00013,37,37425,69,6,47,3,Books,Low
CUST_00014,18,124445,63,7,127,66,Electronics,High
CUST_00015,18,32985,43,1,35,27,Books,Medium
CUST_00016,28,42225,65,11,324,34,Sports,Medium
CUST_00017,22,35690,34,3,205,46,Electronics,High
CUST_00018,38,20244,45,8,64,20,Electronics,Medium
CUST_00019,24,64306,40,1,27,2,Electronics,Low
CUST_00020,18,52889,51,11,232,23,Clothing,High
CUST_00021,52,53933,96,2,83,26,Clothing,Medium
CUST_00022,32,23047,12,1,214,41,Books,Medium
CUST_00023,35,73232,63,11,29,16,Books,Low
CUST_00024,18,18017,17,1,59,4,Electronics,High
CUST_00025,28,48699,40,1,90,10,Books,Medium
CUST_00026,36,108578,71,14,93,13,Clothing,Medium
CUST_00027,21,22130,51,15,65,31,Toys,High
CUST_00028,39,27360,28,4,139,25,Toys,High
CUST_00029,27,38170,35,4,42,13,Toys,Low
CUST_00030,31,28233,63,2,81,129,Books,Medium
CUST_00031,27,16725,35,1,97,27,Sports,Low
CUST_00032,57,37582,54,1,129,8,Clothing,High
CUST_00033,34,21350,50,5,148,3,Sports,Low
CUST_00034,22,46018,36,6,40,4,Books,Medium
CUST_00035,44,22931,92,7,30,8,Home & Garden,High
CUST_00036,20,78823,62,7,220,5,Electronics,High
CUST_00037,37,24547,9,1,113,6,Clothing,Medium
CUST_00038,18,30914,53,3,53,10,Toys,High
CUST_00039,19,54543,36,1,266,5,Sports,Low
CUST_00040,37,19625,67,3,97,68,Home & Garden,High
CUST_00041,43,40689,34,2,205,2,Home & Garden,Low
CUST_00042,37,69812,47,10,94,22,Clothing,Medium
CUST_00043,33,16256,60,2,380,15,Clothing,High
CUST_00044,31,39827,67,1,307,121,Home & Garden,Low
CUST_00045,18,41354,25,1,75,3,Electronics,Low
CUST_00046,26,53686,43,7,177,15,Electronics,High
CUST_00047,29,19565,40,4,141,104,Sports,High
CUST_00048,47,18765,36,1,234,60,Electronics,Medium
CUST_00049,39,47144,85,1,45,50,Home & Garden,Medium
CUST_00050,18,42129,58,6,145,8,Home & Garden,Medium
CUST_00051,38,41160,24,1,188,5,Books,Low
CUST_00052,30,43183,68,8,26,33,Home & Garden,Medium
CUST_00053,26,25847,92,6,39,79,Electronics,Low
CUST_00054,42,40787,70,1,21,24,Toys,High
CUST_00055,47,42046,19,1,74,25,Sports,Medium
CUST_00056,46,25408,40,21,148,9,Books,Medium
CUST_00057,24,92308,75,2,257,44,Electronics,Medium
CUST_00058,31,46023,35,2,94,6,Sports,High
CUST_00059,38,20017,58,8,281,11,Electronics,Low
CUST_00060,46,50426,65,14,34,16,Books,Medium
CUST_00061,29,22307,31,21,27,21,Home & Garden,Medium
CUST_00062,32,53827,48,6,86,8,Toys,Medium
CUST_00063,21,64815,1,2,117,3,Books,Low
CUST_00064,20,24092,29,1,87,28,Home & Garden,High
CUST_00065,44,58787,44,7,21,10,Books,High
CUST_00066,51,44640,25,4,84,26,Clothing,Medium
CUST_00067,34,54777,82,2,36,5,Toys,Medium
CUST_00068,47,93750,21,11,143,19,Electronics,High
