customer_id,age,annual_income,spending_score,purchase_frequency,avg_order_value,last_purchase_days
CUST_001,52,75075,63,27,194,9
CUST_002,37,32592,38,35,68,59
CUST_003,36,112581,39,28,193,8
CUST_004,37,130075,61,18,50,93
CUST_005,28,75504,65,3,134,60
CUST_006,52,145864,41,12,86,88
CUST_007,47,130635,44,34,56,20
CUST_008,63,88668,31,7,221,7
CUST_009,56,129399,95,20,63,63
CUST_010,50,100547,64,17,236,91
CUST_011,25,40028,66,29,146,74
CUST_012,30,148543,35,27,197,103
CUST_013,56,101370,76,11,139,35
CUST_014,22,48996,90,23,64,96
CUST_015,41,38009,37,18,201,74
CUST_016,64,91508,72,15,165,76
CUST_017,51,92525,59,24,186,36
CUST_018,62,137418,55,12,179,21
CUST_019,45,98445,44,25,249,89
CUST_020,38,100270,37,14,168,62
CUST_021,60,136803,35,33,128,63
CUST_022,49,131162,94,19,187,5
CUST_023,27,118366,31,9,96,9
CUST_024,42,123347,78,32,68,60
CUST_025,22,99186,59,29,83,28
CUST_026,56,90736,86,13,54,48
CUST_027,50,146085,63,13,183,49
CUST_028,46,67873,67,22,205,109
CUST_029,42,44669,64,34,73,50
CUST_030,46,56042,80,29,180,79
CUST_031,60,126834,83,17,111,9
CUST_032,62,121797,43,33,94,19
CUST_033,29,105358,50,20,54,42
CUST_034,24,106402,25,30,144,67
CUST_035,53,103468,84,16,69,67
CUST_036,28,112594,25,5,91,38
CUST_037,59,108567,77,5,173,5
CUST_038,24,84561,34,25,138,19
CUST_039,39,57743,94,30,233,10
CUST_040,29,20912,86,34,113,56
CUST_041,58,110907,68,20,202,81
CUST_042,49,70655,58,17,242,107
CUST_043,55,125300,27,7,66,78
CUST_044,54,63222,62,17,234,65
CUST_045,59,32154,59,20,185,27
CUST_046,34,130887,27,15,122,27
CUST_047,55,123926,84,27,71,56
CUST_048,35,103844,34,34,41,55
CUST_049,62,59555,49,23,61,83
CUST_050,49,129287,66,16,125,101
CUST_051,59,62916,94,16,200,39
CUST_052,25,75972,37,29,87,50
CUST_053,45,48169,77,27,165,88
CUST_054,55,120803,81,14,91,16
CUST_055,41,117515,91,9,222,24
CUST_056,37,44496,62,3,65,99
CUST_057,56,60441,66,18,42,30
CUST_058,62,30048,64,29,228,63
CUST_059,42,81830,84,33,226,97
CUST_060,58,61172,23,12,58,37
CUST_061,56,120649,80,19,236,22
CUST_062,61,114874,48,5,192,12
CUST_063,22,73504,45,25,149,66
CUST_064,43,121825,60,10,103,43
CUST_065,65,30864,85,4,154,32
CUST_066,62,133229,58,7,190,112
CUST_067,64,37500,34,8,235,75
CUST_068,63,29578,38,31,145,39
CUST_069,57,70661,72,25,206,86
CUST_070,60,92663,52,7,63,78
CUST_071,32,113892,92,7,137,53
CUST_072,55,135039,57,24,69,15
CUST_073,29,44696,79,4,99,51
CUST_074,29,90726,90,14,227,91
CUST_075,40,144346,62,3,96,68
CUST_076,56,93988,58,32,204,46
CUST_077,25,32925,89,31,126,82
CUST_078,58,117483,32,13,133,36
CUST_079,36,85766,53,15,199,81
CUST_080,50,142047,93,19,86,116
CUST_081,35,108884,72,4,129,113
CUST_082,28,76936,79,14,226,55
CUST_083,41,59696,40,20,215,1
CUST_084,43,144798,69,8,209,19
CUST_085,33,64025,89,7,129,116
CUST_086,60,111453,25,33,171,10
CUST_087,25,80575,67,13,231,63
CUST_088,64,134481,54,31,144,13
CUST_089,48,55863,22,16,97,30
CUST_090,28,39102,83,30,62,63
CUST_091,30,41804,89,27,122,44
CUST_092,41,108742,84,30,172,56
CUST_093,41,138145,27,16,214,78
CUST_094,55,95474,35,25,174,104
CUST_095,56,112541,47,8,75,56
CUST_096,25,66881,57,33,229,64
CUST_097,36,106209,28,5,78,45
CUST_098,49,129852,32,22,122,19
CUST_099,61,145180,90,3,141,99
CUST_100,24,109300,35,14,119,28
