customer_id,age,annual_income,spending_score,purchase_frequency,avg_order_value,last_purchase_days
CUST_001,28,180000,78,5,135,48
CUST_002,28,35463,69,4,72,81
CUST_003,49,200000,100,8,55,42
CUST_004,52,62578,27,14,173,31
CUST_005,58,62015,50,24,174,71
CUST_006,51,49544,66,6,117,26
CUST_007,46,47080,71,22,54,29
CUST_008,30,,47,16,65,86
CUST_009,43,89998,71,19,89,73
CUST_010,53,,33,4,140,39
CUST_011,52,66567,29,,52,73
CUST_012,49,29815,26,12,58,76
CUST_013,46,52136,35,,86,52
CUST_014,40,,58,13,124,54
CUST_015,48,33288,32,22,65,22
CUST_016,54,180000,72,25,159,8
CUST_017,35,59182,60,20,144,33
CUST_018,46,31085,38,12,178,15
CUST_019,37,58104,99,22,131,15
CUST_020,46,61341,76,8,173,68
CUST_021,50,200000,61,14,107,69
CUST_022,33,64960,75,19,81,11
CUST_023,48,81468,79,15,164,48
CUST_024,37,78770,76,17,117,27
CUST_025,60,49668,32,20,132,12
CUST_026,49,28381,54,14,164,39
CUST_027,53,61881,69,22,120,48
CUST_028,28,36941,56,19,170,74
CUST_029,34,46354,39,5,123,79
CUST_030,25,46012,81,12,156,50
CUST_031,52,27844,35,12,99,43
CUST_032,56,81732,58,18,121,29
CUST_033,58,86662,50,18,160,88
CUST_034,52,58901,37,11,112,31
CUST_035,29,,66,,113,60
CUST_036,43,85762,67,14,56,51
CUST_037,34,55532,67,16,149,14
CUST_038,56,150000,71,8,140,75
CUST_039,26,54165,38,5,74,80
CUST_040,45,200000,49,8,85,5
CUST_041,35,76697,31,18,101,89
CUST_042,50,150000,30,5,102,35
CUST_043,40,76431,30,13,152,49
CUST_044,39,,84,11,50,82
CUST_045,59,42253,60,24,156,9
CUST_046,43,47928,76,4,70,53
CUST_047,36,64977,71,21,68,29
CUST_048,38,72336,43,21,91,54
CUST_049,26,42063,82,9,143,28
CUST_050,31,33937,42,6,115,51
